x,alpha,rho,p,sd11,sd12,sd13,sd21,sd22,sd23,sd31,sd32,sd33,rho_mix,p_mix,te_mix,s11,s12,vx,vy,v_mix,amr,xi
0.1335,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1345,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1355,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1365,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1375,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1385,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1395,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1405,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1415,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1425,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1435,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1445,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1455,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1465,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,1.91E-08,0,1.91E-08,0,0
0.1475,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,3.26E-08,0,3.26E-08,0,0
0.1485,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,5.04E-08,0,5.04E-08,0,0
0.1495,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,7.07E-08,0,7.07E-08,0,0
0.1505,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,9.61E-08,0,9.61E-08,0,0
0.1515,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,1.26E-07,0,1.26E-07,0,0
0.1525,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,1.62E-07,0,1.62E-07,0,0
0.1535,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,2.04E-07,0,2.04E-07,0,0
0.1545,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,2.52E-07,0,2.52E-07,0,0
0.1555,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,3.09E-07,0,3.09E-07,0,0
0.1565,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,3.75E-07,0,3.75E-07,0,0
0.1575,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,4.51E-07,0,4.51E-07,0,0
0.1585,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,5.41E-07,0,5.41E-07,0,0
0.1595,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,6.44E-07,0,6.44E-07,0,0
0.1605,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,7.62E-07,0,7.62E-07,0,0
0.1615,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,9.06E-07,0,9.06E-07,0,0
0.1625,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,1.05E-06,0,1.05E-06,0,0
0.1635,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,2.09E-06,0,2.09E-06,0,0
0.1645,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,9.31E-06,0,9.31E-06,0,0
0.1655,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,4.15E-05,0,4.15E-05,0,0
0.1665,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0.00014995,0,0.00014995,0,0
0.1675,1,2700,9.99E+06,1,0,0,0,1,0,0,0,1,2700,9.99E+06,1.13E+07,-9.99E+06,0,0.000433705,0,0.000433705,0,0
0.1685,1,2700,9.99E+06,1,0,0,0,1,0,0,0,1,2700,9.99E+06,1.13E+07,-9.98E+06,0,0.00104378,0,0.00104378,0,0
0.1695,1,2700,9.97E+06,1,0,0,0,1,0,0,0,1,2700,9.97E+06,1.13E+07,-9.96E+06,0,0.00217495,0,0.00217495,0,0
0.1705,1,2700,9.95E+06,0.999999,0,0,0,1,0,0,0,1,2700,9.95E+06,1.13E+07,-9.93E+06,0,0.00405256,0,0.00405256,0,0
0.1715,1,2700,9.92E+06,0.999999,0,0,0,1,0,0,0,1,2700,9.92E+06,1.13E+07,-9.88E+06,0,0.00691722,0,0.00691722,0,0
0.1725,1,2700,9.87E+06,0.999998,0,0,0,1,0,0,0,1,2700,9.87E+06,1.13E+07,-9.81E+06,0,0.0110049,0,0.0110049,0,0
0.1735,1,2699.99,9.80E+06,0.999997,0,0,0,1,0,0,0,1,2699.99,9.80E+06,1.13E+07,-9.71E+06,0,0.0165254,0,0.0165254,0,0
0.1745,1,2699.99,9.72E+06,0.999996,0,0,0,1,0,0,0,1,2699.99,9.72E+06,1.13E+07,-9.59E+06,0,0.0236404,0,0.0236404,0,0
0.1755,1,2699.99,9.62E+06,0.999995,0,0,0,1,0,0,0,1,2699.99,9.62E+06,1.13E+07,-9.44E+06,0,0.0324452,0,0.0324452,0,0
0.1765,1,2699.98,9.49E+06,0.999993,0,0,0,1,0,0,0,1,2699.98,9.49E+06,1.13E+07,-9.25E+06,0,0.0429556,0,0.0429556,0,0
0.1775,1,2699.98,9.35E+06,0.999991,0,0,0,1,0,0,0,1,2699.98,9.35E+06,1.13E+07,-9.04E+06,0,0.055102,0,0.055102,0,0
0.1785,1,2699.97,9.19E+06,0.999989,0,0,0,1,0,0,0,1,2699.97,9.19E+06,1.13E+07,-8.81E+06,0,0.0687311,0,0.0687311,0,0
0.1795,1,2699.96,9.02E+06,0.999987,0,0,0,1,0,0,0,1,2699.96,9.02E+06,1.13E+07,-8.56E+06,0,0.0836148,0,0.0836148,0,0
0.1805,1,2699.96,8.84E+06,0.999984,0,0,0,1,0,0,0,1,2699.96,8.84E+06,1.13E+07,-8.28E+06,0,0.0994651,0,0.0994651,0,0
0.1815,1,2699.95,8.64E+06,0.999981,0,0,0,1,0,0,0,1,2699.95,8.64E+06,1.13E+07,-8.00E+06,0,0.115953,0,0.115953,0,0
0.1825,1,2699.94,8.45E+06,0.999979,0,0,0,1,0,0,0,1,2699.94,8.45E+06,1.13E+07,-7.71E+06,0,0.132731,0,0.132731,0,0
